data;pais;valor
23/10/2015;ESPANHA;R$ 103,85
01/08/2017;ESPANHA;R$ 399,56
15/10/2011;BRASIL;R$ 837,20
20/04/2016;CHILE;R$ 878,17
21/02/2009;MÉXICO;R$ 96,68
25/05/2012;BRASIL;R$ 413,02
02/04/2014;ESPANHA;R$ 195,57
18/10/2000;ARGENTINA;R$ 448,41
26/06/2001;ARGENTINA;R$ 428,32
28/10/2006;ARGENTINA;R$ 293,18
02/05/2010;ESPANHA;R$ 695,95
03/06/2000;CHILE;R$ 678,29
03/05/2000;MÉXICO;R$ 458,46
13/03/2019;CHILE;R$ 396,14
22/07/2014;CHILE;R$ 120,39
08/09/2004;ESPANHA;R$ 759,18
26/12/2017;ESPANHA;R$ 120,08
22/01/2007;ESPANHA;R$ 196,42
10/07/2001;ARGENTINA;R$ 299,68
12/09/2006;ARGENTINA;R$ 66,22
27/12/2018;MÉXICO;R$ 54,58
12/04/2014;MÉXICO;R$ 324,22
16/02/2014;MÉXICO;R$ 284,49
21/10/2016;ARGENTINA;R$ 649,51
22/05/2004;MÉXICO;R$ 662,20
07/02/2000;MÉXICO;R$ 941,98
24/09/2020;CHILE;R$ 455,83
06/02/2012;ESPANHA;R$ 260,43
17/08/2009;BRASIL;R$ 754,43
27/08/2018;MÉXICO;R$ 785,37
14/09/2005;BRASIL;R$ 407,29
12/08/2005;ARGENTINA;R$ 790,16
04/07/2012;MÉXICO;R$ 485,59
28/01/2013;ESPANHA;R$ 283,47
21/05/2017;MÉXICO;R$ 728,26
22/08/2006;BRASIL;R$ 885,85
29/10/2005;ARGENTINA;R$ 991,70
10/08/2008;ESPANHA;R$ 274,29
27/07/2000;MÉXICO;R$ 325,97
10/10/2012;ARGENTINA;R$ 985,77
03/06/2001;ARGENTINA;R$ 500,36
07/07/2003;ARGENTINA;R$ 730,11
22/08/2015;ESPANHA;R$ 730,91
11/04/2012;ARGENTINA;R$ 801,42
10/04/2009;BRASIL;R$ 411,61
08/05/2010;BRASIL;R$ 416,22
01/06/2018;ARGENTINA;R$ 738,10
13/02/2020;ESPANHA;R$ 491,92
11/11/2014;BRASIL;R$ 992,22
05/10/2014;BRASIL;R$ 289,48
13/09/2014;CHILE;R$ 953,38
25/12/2004;BRASIL;R$ 41,91
12/11/2005;ESPANHA;R$ 57,17
10/08/2003;BRASIL;R$ 753,73
24/07/2011;MÉXICO;R$ 120,38
11/09/2020;BRASIL;R$ 375,71
21/08/2014;BRASIL;R$ 658,04
13/07/2003;ARGENTINA;R$ 280,53
29/03/2013;BRASIL;R$ 564,96
27/06/2008;CHILE;R$ 394,85
19/09/2019;CHILE;R$ 194,73
26/12/2015;ESPANHA;R$ 205,69
29/05/2005;MÉXICO;R$ 926,46
23/06/2012;MÉXICO;R$ 604,85
23/10/2002;ARGENTINA;R$ 410,01
08/02/2004;ESPANHA;R$ 691,93
03/12/2005;ESPANHA;R$ 816,60
28/12/2014;ARGENTINA;R$ 704,32
13/02/2001;MÉXICO;R$ 784,17
04/05/2000;ESPANHA;R$ 240,92
04/01/2018;MÉXICO;R$ 991,28
07/11/2000;BRASIL;R$ 800,64
14/02/2003;CHILE;R$ 641,77
22/11/2012;ARGENTINA;R$ 822,17
12/11/2018;ARGENTINA;R$ 554,48
10/10/2004;CHILE;R$ 72,05
11/05/2016;ARGENTINA;R$ 661,67
02/12/2009;BRASIL;R$ 942,13
10/01/2004;MÉXICO;R$ 564,30
21/12/2019;ARGENTINA;R$ 670,08
31/05/2007;BRASIL;R$ 140,82
16/01/2006;BRASIL;R$ 271,16
10/03/2014;ESPANHA;R$ 496,47
11/03/2002;BRASIL;R$ 723,08
05/09/2011;MÉXICO;R$ 93,57
05/06/2012;MÉXICO;R$ 853,79
11/01/2010;ARGENTINA;R$ 230,82
22/12/2006;CHILE;R$ 980,59
10/05/2007;BRASIL;R$ 336,59
28/02/2007;BRASIL;R$ 512,72
16/02/2014;CHILE;R$ 435,78
22/04/2003;CHILE;R$ 691,21
30/10/2006;BRASIL;R$ 546,45
25/08/2016;BRASIL;R$ 894,30
03/07/2000;ESPANHA;R$ 952,08
09/08/2002;ESPANHA;R$ 750,12
01/10/2000;BRASIL;R$ 26,67
11/02/2012;MÉXICO;R$ 140,07
22/11/2009;CHILE;R$ 979,38
16/03/2000;CHILE;R$ 309,28
03/03/2017;BRASIL;R$ 673,62
11/11/2001;MÉXICO;R$ 609,34
29/11/2019;ESPANHA;R$ 752,90
04/05/2004;BRASIL;R$ 937,42
25/09/2009;CHILE;R$ 149,74
25/10/2016;ARGENTINA;R$ 581,43
26/06/2010;MÉXICO;R$ 853,05
24/05/2002;BRASIL;R$ 366,18
30/05/2007;MÉXICO;R$ 540,22
11/08/2019;ARGENTINA;R$ 408,75
10/01/2017;ARGENTINA;R$ 635,14
21/12/2000;BRASIL;R$ 553,84
31/01/2019;ARGENTINA;R$ 595,49
31/08/2016;BRASIL;R$ 674,58
14/01/2010;CHILE;R$ 675,10
01/10/2012;ESPANHA;R$ 81,32
12/06/2011;BRASIL;R$ 245,05
03/10/2000;ESPANHA;R$ 468,54
23/10/2019;ARGENTINA;R$ 220,76
10/01/2011;BRASIL;R$ 670,39
11/03/2003;BRASIL;R$ 451,89
23/12/2005;ARGENTINA;R$ 227,92
14/08/2002;BRASIL;R$ 283,33
06/04/2012;BRASIL;R$ 562,03
29/09/2009;BRASIL;R$ 436,95
16/11/2012;MÉXICO;R$ 107,08
27/02/2020;ARGENTINA;R$ 428,84
08/06/2011;BRASIL;R$ 355,13
18/04/2010;BRASIL;R$ 954,94
29/10/2011;ESPANHA;R$ 330,68
02/10/2017;ARGENTINA;R$ 848,42
31/08/2004;ARGENTINA;R$ 17,35
18/02/2018;ESPANHA;R$ 829,30
04/02/2010;ESPANHA;R$ 480,26
17/05/2012;BRASIL;R$ 177,16
12/10/2011;ESPANHA;R$ 134,46
24/02/2011;MÉXICO;R$ 330,60
25/04/2006;CHILE;R$ 11,07
08/11/2003;ESPANHA;R$ 364,87
30/11/2001;ARGENTINA;R$ 219,79
21/07/2017;ESPANHA;R$ 364,16
28/05/2016;CHILE;R$ 948,73
02/02/2012;BRASIL;R$ 142,81
02/06/2016;MÉXICO;R$ 933,09
12/01/2017;CHILE;R$ 773,51
23/10/2005;BRASIL;R$ 59,05
09/02/2005;CHILE;R$ 666,55
21/10/2015;CHILE;R$ 472,84
18/07/2012;MÉXICO;R$ 642,08
17/06/2018;ESPANHA;R$ 903,83
12/05/2006;BRASIL;R$ 204,05
14/05/2004;ESPANHA;R$ 987,45
15/08/2003;ESPANHA;R$ 36,90
14/05/2001;ARGENTINA;R$ 106,49
25/01/2005;CHILE;R$ 876,45
19/07/2016;ARGENTINA;R$ 482,74
27/11/2009;ESPANHA;R$ 934,74
22/10/2008;CHILE;R$ 904,48
13/02/2005;BRASIL;R$ 305,14
03/03/2000;BRASIL;R$ 983,23
01/06/2019;ARGENTINA;R$ 704,10
07/03/2013;ARGENTINA;R$ 210,45
26/01/2019;CHILE;R$ 322,99
02/10/2007;ARGENTINA;R$ 955,90
25/08/2013;BRASIL;R$ 827,90
28/06/2003;BRASIL;R$ 43,96
14/06/2013;ARGENTINA;R$ 285,94
17/12/2003;CHILE;R$ 314,79
11/08/2001;ESPANHA;R$ 928,67
23/02/2009;ARGENTINA;R$ 598,79
30/09/2016;CHILE;R$ 488,94
25/07/2001;CHILE;R$ 85,40
09/10/2005;MÉXICO;R$ 583,05
01/07/2012;ESPANHA;R$ 367,30
26/11/2012;MÉXICO;R$ 628,84
19/03/2003;ARGENTINA;R$ 556,46
17/11/2017;BRASIL;R$ 377,29
27/06/2000;ESPANHA;R$ 282,26
31/07/2008;ESPANHA;R$ 588,84
22/06/2011;MÉXICO;R$ 954,10
20/12/2001;MÉXICO;R$ 604,97
21/10/2000;ESPANHA;R$ 798,50
17/06/2020;CHILE;R$ 828,34
27/04/2012;ESPANHA;R$ 502,34
09/12/2012;BRASIL;R$ 787,14
18/07/2007;ARGENTINA;R$ 621,95
22/04/2002;CHILE;R$ 439,47
10/05/2010;ESPANHA;R$ 510,50
19/06/2013;BRASIL;R$ 305,33
27/07/2009;CHILE;R$ 538,78
29/02/2000;MÉXICO;R$ 121,97
28/05/2002;ESPANHA;R$ 268,00
16/02/2020;ESPANHA;R$ 403,00
22/11/2005;MÉXICO;R$ 753,86
28/01/2018;CHILE;R$ 109,75
29/01/2001;ARGENTINA;R$ 720,75
19/08/2013;ESPANHA;R$ 854,44
15/05/2011;ESPANHA;R$ 850,52
13/09/2013;ARGENTINA;R$ 555,80
02/03/2018;ARGENTINA;R$ 427,64
22/09/2002;BRASIL;R$ 355,26
13/08/2014;ESPANHA;R$ 59,66
07/04/2007;CHILE;R$ 175,74
02/04/2012;BRASIL;R$ 705,64
03/11/2000;CHILE;R$ 440,41
10/03/2001;BRASIL;R$ 373,01
26/11/2014;CHILE;R$ 595,94
11/11/2005;MÉXICO;R$ 701,21
28/10/2011;BRASIL;R$ 783,18
14/09/2015;BRASIL;R$ 117,35
06/12/2011;ESPANHA;R$ 324,70
29/07/2003;MÉXICO;R$ 484,89
06/10/2017;CHILE;R$ 523,71
05/06/2000;ESPANHA;R$ 947,33
28/12/2015;MÉXICO;R$ 691,08
02/05/2013;BRASIL;R$ 842,56
14/06/2001;MÉXICO;R$ 361,22
09/10/2014;CHILE;R$ 694,35
02/01/2011;CHILE;R$ 742,18
15/11/2002;BRASIL;R$ 619,86
17/08/2000;ARGENTINA;R$ 750,61
01/04/2018;ARGENTINA;R$ 74,39
21/05/2006;BRASIL;R$ 219,78
20/03/2020;BRASIL;R$ 639,20
11/09/2011;BRASIL;R$ 853,41
13/08/2006;MÉXICO;R$ 22,20
08/08/2006;CHILE;R$ 788,87
05/12/2004;BRASIL;R$ 214,85
01/09/2009;CHILE;R$ 769,51
12/06/2012;BRASIL;R$ 347,60
28/12/2005;BRASIL;R$ 783,07
04/06/2003;BRASIL;R$ 20,41
31/10/2019;BRASIL;R$ 521,93
17/08/2000;CHILE;R$ 260,10
24/05/2000;MÉXICO;R$ 365,88
01/06/2017;BRASIL;R$ 56,78
10/10/2009;CHILE;R$ 498,64
17/06/2007;ESPANHA;R$ 858,96
30/03/2010;ESPANHA;R$ 762,39
29/04/2008;ESPANHA;R$ 66,03
06/01/2014;ESPANHA;R$ 863,48
24/03/2007;ESPANHA;R$ 10,66
29/05/2016;CHILE;R$ 572,03
10/07/2011;BRASIL;R$ 318,14
18/02/2017;CHILE;R$ 240,49
17/01/2004;ARGENTINA;R$ 941,32
15/05/2003;MÉXICO;R$ 573,50
05/08/2017;MÉXICO;R$ 302,86
07/03/2013;BRASIL;R$ 459,63
26/01/2002;ESPANHA;R$ 129,43
19/10/2003;BRASIL;R$ 857,07
15/10/2002;ESPANHA;R$ 874,82
21/07/2013;ESPANHA;R$ 480,39
23/10/2006;BRASIL;R$ 695,11
10/05/2017;BRASIL;R$ 821,16
01/02/2010;CHILE;R$ 712,74
01/04/2018;MÉXICO;R$ 688,62
23/09/2001;ESPANHA;R$ 501,18
02/11/2001;ESPANHA;R$ 659,32
14/11/2006;ESPANHA;R$ 477,55
14/08/2017;ARGENTINA;R$ 526,26
24/02/2014;BRASIL;R$ 316,48
18/12/2016;BRASIL;R$ 0,13
04/02/2004;ARGENTINA;R$ 341,72
28/12/2014;CHILE;R$ 738,28
11/08/2007;ARGENTINA;R$ 495,83
15/02/2008;ARGENTINA;R$ 38,31
27/01/2004;CHILE;R$ 92,45
11/06/2000;CHILE;R$ 769,39
02/11/2001;MÉXICO;R$ 180,25
08/05/2001;ARGENTINA;R$ 359,74
19/09/2019;ESPANHA;R$ 593,89
25/06/2010;MÉXICO;R$ 799,79
27/01/2018;ARGENTINA;R$ 285,84
16/12/2001;ARGENTINA;R$ 223,76
24/04/2001;MÉXICO;R$ 440,06
04/08/2012;MÉXICO;R$ 84,58
11/11/2019;ESPANHA;R$ 16,64
04/05/2002;ARGENTINA;R$ 524,58
16/11/2012;CHILE;R$ 648,17
20/05/2003;ESPANHA;R$ 133,14
11/03/2002;ARGENTINA;R$ 464,96
19/05/2019;BRASIL;R$ 351,25
22/02/2005;BRASIL;R$ 493,74
29/03/2004;ESPANHA;R$ 586,84
17/12/2000;ARGENTINA;R$ 864,70
21/07/2009;CHILE;R$ 218,59
14/05/2008;CHILE;R$ 374,56
17/01/2016;BRASIL;R$ 86,81
17/11/2017;CHILE;R$ 972,14
09/09/2012;CHILE;R$ 0,01
22/01/2012;ARGENTINA;R$ 404,67
26/12/2000;BRASIL;R$ 676,65
04/02/2020;MÉXICO;R$ 697,54
08/01/2008;CHILE;R$ 279,78
01/02/2006;BRASIL;R$ 514,95
30/01/2005;BRASIL;R$ 913,61
07/01/2014;CHILE;R$ 592,39
01/11/2004;CHILE;R$ 503,00
18/08/2008;ESPANHA;R$ 783,74
07/07/2000;BRASIL;R$ 937,18
19/08/2001;ARGENTINA;R$ 230,52
04/10/2010;BRASIL;R$ 105,52
01/09/2008;ARGENTINA;R$ 884,86
17/10/2010;MÉXICO;R$ 185,16
03/01/2008;ARGENTINA;R$ 706,64
25/08/2012;ESPANHA;R$ 142,70
18/06/2013;ESPANHA;R$ 650,17
29/12/2004;MÉXICO;R$ 791,45
01/04/2018;MÉXICO;R$ 891,06
09/04/2018;ESPANHA;R$ 858,24
03/03/2004;MÉXICO;R$ 183,38
19/10/2015;MÉXICO;R$ 212,70
04/01/2014;ARGENTINA;R$ 24,31
19/01/2018;ARGENTINA;R$ 832,22
06/08/2018;MÉXICO;R$ 952,58
23/01/2019;ARGENTINA;R$ 668,10
29/08/2016;ESPANHA;R$ 518,72
15/12/2019;ARGENTINA;R$ 82,40
16/05/2008;ESPANHA;R$ 201,37
27/04/2018;MÉXICO;R$ 24,48
28/06/2015;CHILE;R$ 141,08
04/02/2010;ESPANHA;R$ 581,39
20/09/2014;MÉXICO;R$ 583,55
09/04/2018;ESPANHA;R$ 306,61
28/11/2002;MÉXICO;R$ 940,44
03/09/2016;ESPANHA;R$ 64,69
29/12/2009;CHILE;R$ 982,21
29/12/2004;ARGENTINA;R$ 131,48
22/01/2003;MÉXICO;R$ 410,91
22/01/2006;ESPANHA;R$ 438,31
18/08/2004;ARGENTINA;R$ 612,46
03/06/2018;ARGENTINA;R$ 189,45
08/11/2013;ARGENTINA;R$ 533,86
03/11/2018;ESPANHA;R$ 402,64
03/01/2010;ESPANHA;R$ 878,27
02/01/2008;CHILE;R$ 652,68
22/12/2005;CHILE;R$ 662,25
16/02/2006;BRASIL;R$ 552,22
05/01/2010;MÉXICO;R$ 935,24
30/01/2016;BRASIL;R$ 627,28
26/07/2006;ARGENTINA;R$ 998,83
16/01/2010;CHILE;R$ 585,33
10/04/2004;ESPANHA;R$ 779,94
03/09/2016;ESPANHA;R$ 964,61
11/06/2017;ESPANHA;R$ 721,01
27/08/2009;MÉXICO;R$ 873,16
03/10/2004;CHILE;R$ 289,39
03/05/2003;ESPANHA;R$ 186,84
25/07/2014;ARGENTINA;R$ 92,64
29/01/2013;MÉXICO;R$ 182,01
03/03/2004;ARGENTINA;R$ 488,22
01/11/2006;MÉXICO;R$ 41,63
01/12/2004;ESPANHA;R$ 779,90
19/04/2006;ARGENTINA;R$ 435,72
27/03/2010;MÉXICO;R$ 563,72
30/06/2015;ARGENTINA;R$ 243,41
25/09/2019;CHILE;R$ 46,47
13/06/2006;BRASIL;R$ 9,94
26/05/2012;CHILE;R$ 498,09
28/04/2000;BRASIL;R$ 212,91
10/08/2001;ESPANHA;R$ 187,18
08/09/2018;BRASIL;R$ 334,92
28/02/2017;ESPANHA;R$ 355,17
13/04/2016;ESPANHA;R$ 910,64
05/06/2006;MÉXICO;R$ 677,63
07/12/2009;BRASIL;R$ 822,06
27/01/2003;CHILE;R$ 628,15
18/12/2018;ESPANHA;R$ 504,82
29/03/2012;MÉXICO;R$ 665,11
30/01/2004;BRASIL;R$ 67,75
20/10/2019;MÉXICO;R$ 413,19
17/10/2018;ESPANHA;R$ 759,91
19/10/2011;CHILE;R$ 52,10
13/02/2003;BRASIL;R$ 571,58
06/04/2019;ARGENTINA;R$ 751,92
26/01/2008;ESPANHA;R$ 434,23
22/07/2014;CHILE;R$ 875,82
14/10/2002;ARGENTINA;R$ 388,09
26/03/2001;ARGENTINA;R$ 123,53
22/02/2002;CHILE;R$ 62,30
19/01/2015;ESPANHA;R$ 961,03
25/08/2009;ARGENTINA;R$ 231,38
07/08/2014;MÉXICO;R$ 89,97
14/09/2003;CHILE;R$ 465,64
14/03/2011;BRASIL;R$ 235,63
19/07/2019;ESPANHA;R$ 532,01
09/12/2008;MÉXICO;R$ 993,27
09/11/2000;BRASIL;R$ 160,46
20/08/2010;BRASIL;R$ 989,96
14/02/2006;ESPANHA;R$ 829,33
05/01/2014;BRASIL;R$ 952,12
18/01/2004;CHILE;R$ 50,67
15/09/2006;CHILE;R$ 242,57
30/12/2003;CHILE;R$ 714,38
25/12/2018;CHILE;R$ 71,93
12/05/2011;CHILE;R$ 336,83
30/06/2016;BRASIL;R$ 87,86
09/06/2012;ESPANHA;R$ 892,26
03/10/2010;CHILE;R$ 666,68
27/05/2003;ESPANHA;R$ 584,08
22/05/2019;ARGENTINA;R$ 170,04
15/05/2010;BRASIL;R$ 520,68
21/05/2010;CHILE;R$ 171,01
31/01/2020;ARGENTINA;R$ 92,74
08/04/2016;BRASIL;R$ 451,62
10/07/2005;ESPANHA;R$ 949,73
09/05/2002;MÉXICO;R$ 76,11
26/02/2011;ESPANHA;R$ 954,61
14/05/2002;MÉXICO;R$ 237,61
21/06/2018;MÉXICO;R$ 152,78
27/12/2007;ESPANHA;R$ 283,10
19/06/2020;CHILE;R$ 586,84
26/05/2013;BRASIL;R$ 183,34
06/12/2004;BRASIL;R$ 191,38
12/03/2001;BRASIL;R$ 141,43
22/02/2018;CHILE;R$ 956,35
19/03/2002;ARGENTINA;R$ 470,44
28/07/2007;BRASIL;R$ 151,76
15/09/2013;ESPANHA;R$ 692,97
30/04/2006;MÉXICO;R$ 103,19
13/08/2006;CHILE;R$ 985,58
16/10/2013;ESPANHA;R$ 733,95
17/02/2016;ARGENTINA;R$ 147,93
11/08/2010;ARGENTINA;R$ 287,51
29/03/2015;BRASIL;R$ 297,35
24/06/2009;BRASIL;R$ 871,55
04/03/2014;CHILE;R$ 201,10
09/05/2005;ARGENTINA;R$ 968,84
28/07/2000;BRASIL;R$ 293,89
15/10/2000;ARGENTINA;R$ 299,09
02/06/2013;BRASIL;R$ 422,82
11/05/2005;ARGENTINA;R$ 812,13
24/07/2004;ARGENTINA;R$ 492,41
25/03/2000;CHILE;R$ 300,49
12/11/2006;BRASIL;R$ 726,25
12/01/2000;MÉXICO;R$ 126,09
17/12/2016;BRASIL;R$ 332,71
29/12/2008;BRASIL;R$ 751,97
15/07/2007;MÉXICO;R$ 979,73
02/10/2007;ARGENTINA;R$ 499,63
04/09/2014;CHILE;R$ 55,21
20/02/2005;ARGENTINA;R$ 982,72
20/07/2018;ESPANHA;R$ 556,69
20/10/2012;CHILE;R$ 643,21
24/07/2014;CHILE;R$ 664,32
20/08/2003;BRASIL;R$ 652,60
02/11/2012;CHILE;R$ 391,24
28/07/2019;BRASIL;R$ 269,35
03/01/2005;ARGENTINA;R$ 44,63
28/09/2002;CHILE;R$ 947,87
28/10/2002;ESPANHA;R$ 34,18
29/01/2020;ARGENTINA;R$ 896,77
08/10/2010;ESPANHA;R$ 484,68
30/09/2004;MÉXICO;R$ 686,35
19/12/2009;MÉXICO;R$ 449,52
14/10/2011;MÉXICO;R$ 315,50
28/05/2001;CHILE;R$ 738,22
08/07/2014;ARGENTINA;R$ 717,95
13/10/2012;ARGENTINA;R$ 414,23
04/03/2007;ARGENTINA;R$ 973,57
14/09/2015;CHILE;R$ 823,59
08/09/2007;CHILE;R$ 815,62
10/07/2009;CHILE;R$ 736,67
29/08/2016;BRASIL;R$ 339,90
23/11/2014;CHILE;R$ 238,94
16/01/2016;ARGENTINA;R$ 93,52
11/05/2006;CHILE;R$ 588,83
16/01/2004;CHILE;R$ 442,25
01/10/2019;BRASIL;R$ 725,40
02/09/2003;MÉXICO;R$ 528,94
15/02/2018;ARGENTINA;R$ 952,60
05/10/2011;ESPANHA;R$ 929,46
16/01/2006;ESPANHA;R$ 56,09
09/06/2019;ESPANHA;R$ 212,34
07/09/2007;ARGENTINA;R$ 849,28
24/01/2011;ESPANHA;R$ 673,05
17/06/2017;MÉXICO;R$ 872,61
20/09/2001;ARGENTINA;R$ 751,02
04/01/2008;ESPANHA;R$ 262,07
26/01/2017;CHILE;R$ 294,42
24/12/2004;ESPANHA;R$ 136,10
25/05/2020;MÉXICO;R$ 538,36
07/03/2015;ESPANHA;R$ 115,04
01/05/2016;CHILE;R$ 780,10
20/11/2015;BRASIL;R$ 675,32
21/12/2014;ARGENTINA;R$ 205,43
01/07/2013;BRASIL;R$ 875,03
11/01/2008;ESPANHA;R$ 823,96
22/01/2000;CHILE;R$ 212,14
10/11/2019;ARGENTINA;R$ 8,91
03/06/2020;ESPANHA;R$ 635,19
10/06/2001;CHILE;R$ 652,37
02/12/2003;CHILE;R$ 865,47
02/08/2019;ARGENTINA;R$ 635,13
09/10/2005;ARGENTINA;R$ 387,27
19/04/2000;CHILE;R$ 772,35
21/08/2009;CHILE;R$ 527,97
10/05/2016;ESPANHA;R$ 507,34
12/07/2008;BRASIL;R$ 515,80
02/01/2006;ESPANHA;R$ 352,19
29/03/2004;BRASIL;R$ 595,00
13/10/2017;CHILE;R$ 844,72
22/10/2000;ESPANHA;R$ 81,25
29/04/2008;ARGENTINA;R$ 423,80
23/09/2015;MÉXICO;R$ 361,16
07/05/2010;MÉXICO;R$ 485,91
29/05/2017;BRASIL;R$ 585,78
21/01/2009;MÉXICO;R$ 907,04
21/07/2004;CHILE;R$ 522,05
12/07/2015;CHILE;R$ 139,80
14/11/2008;CHILE;R$ 835,68
02/09/2007;MÉXICO;R$ 475,65
27/09/2012;ARGENTINA;R$ 761,31
13/11/2003;ARGENTINA;R$ 462,36
22/03/2016;BRASIL;R$ 550,94
30/05/2007;BRASIL;R$ 498,52
26/03/2001;CHILE;R$ 173,52
03/12/2004;ARGENTINA;R$ 524,27
23/10/2009;ARGENTINA;R$ 604,42
15/08/2004;CHILE;R$ 277,60
20/05/2012;MÉXICO;R$ 76,85
20/07/2002;ESPANHA;R$ 842,24
08/11/2010;CHILE;R$ 388,61
23/11/2011;BRASIL;R$ 215,47
24/06/2002;ESPANHA;R$ 906,87
25/06/2000;MÉXICO;R$ 895,70
18/01/2007;CHILE;R$ 364,21
02/05/2015;CHILE;R$ 179,62
23/02/2009;ARGENTINA;R$ 718,42
05/01/2015;CHILE;R$ 218,87
17/08/2008;BRASIL;R$ 411,45
20/11/2017;BRASIL;R$ 414,55
04/12/2012;ESPANHA;R$ 644,06
13/09/2001;CHILE;R$ 521,59
05/02/2010;ARGENTINA;R$ 810,08
05/10/2019;ARGENTINA;R$ 711,36
26/08/2004;BRASIL;R$ 418,51
18/05/2006;ESPANHA;R$ 19,56
19/06/2003;BRASIL;R$ 441,87
17/07/2020;ARGENTINA;R$ 390,10
21/08/2000;ESPANHA;R$ 644,44
27/04/2013;ARGENTINA;R$ 329,01
08/06/2018;CHILE;R$ 541,76
03/05/2015;CHILE;R$ 662,25
29/04/2012;ESPANHA;R$ 973,46
12/12/2001;BRASIL;R$ 656,02
04/11/2013;CHILE;R$ 74,45
29/01/2004;CHILE;R$ 178,55
21/01/2016;CHILE;R$ 349,62
17/05/2015;MÉXICO;R$ 533,56
29/11/2009;BRASIL;R$ 356,85
31/10/2010;MÉXICO;R$ 131,22
29/10/2018;BRASIL;R$ 559,16
22/01/2006;MÉXICO;R$ 178,51
09/03/2005;CHILE;R$ 923,28
30/03/2005;BRASIL;R$ 770,67
03/04/2013;BRASIL;R$ 566,93
20/08/2006;MÉXICO;R$ 90,45
20/08/2007;BRASIL;R$ 184,33
21/01/2000;BRASIL;R$ 264,34
07/06/2012;ESPANHA;R$ 804,18
21/06/2012;BRASIL;R$ 641,57
19/05/2017;ARGENTINA;R$ 799,36
